id,honorific,first_name,last_name,constituency,province_territory,party_affiliation,start_date,time_retrieved
1,,George,Chahal,Calgary Skyview,Alberta,Liberal,2021-09-20T00:00:00,1706735067961
1,,Adam,Chambers,Simcoe North,Ontario,Conservative,2021-09-20T00:00:00,1706735067961
1,Hon.,François-Philippe,Champagne,Saint-Maurice—Champlain,Quebec,Liberal,2021-09-20T00:00:00,1706735067961
1,,Martin,Champoux,Drummond,Quebec,Bloc Québécois,2021-09-20T00:00:00,1706735067961
1,,Sophie,Chatel,Pontiac,Quebec,Liberal,2021-09-20T00:00:00,1706735067961
1,,Shaun,Chen,Scarborough North,Ontario,Liberal,2021-09-20T00:00:00,1706735067961
1,,Paul,Chiang,Markham—Unionville,Ontario,Liberal,2021-09-20T00:00:00,1706735067961
1,Hon.,Michael,Chong,Wellington—Halton Hills,Ontario,Conservative,2021-09-20T00:00:00,1706735067961
1,,Chad,Collins,Hamilton East—Stoney Creek,Ontario,Liberal,2021-09-20T00:00:00,1706735067961
1,,Laurel,Collins,Victoria,British Columbia,NDP,2021-09-20T00:00:00,1706735067961
1,,Michael,Cooper,St. Albert—Edmonton,Alberta,Conservative,2021-09-20T00:00:00,1706735067961
1,,Serge,Cormier,Acadie—Bathurst,New Brunswick,Liberal,2021-09-20T00:00:00,1706735067961
1,,Michael,Coteau,Don Valley East,Ontario,Liberal,2021-09-20T00:00:00,1706735067961
1,,Julie,Dabrusin,Toronto—Danforth,Ontario,Liberal,2021-09-20T00:00:00,1706735067961
1,,Marc,Dalton,Pitt Meadows—Maple Ridge,British Columbia,Conservative,2021-09-20T00:00:00,1706735067961
1,,Pam,Damoff,Oakville North—Burlington,Ontario,Liberal,2021-09-20T00:00:00,1706735067961
1,,Raquel,Dancho,Kildonan—St. Paul,Manitoba,Conservative,2021-09-20T00:00:00,1706735067961
1,,Scot,Davidson,York—Simcoe,Ontario,Conservative,2021-09-20T00:00:00,1706735067961
1,,Don,Davies,Vancouver Kingsway,British Columbia,NDP,2021-09-20T00:00:00,1706735067961
1,,Claude,DeBellefeuille,Salaberry—Suroît,Quebec,Bloc Québécois,2021-09-20T00:00:00,1706735067961
1,,Gérard,Deltell,Louis-Saint-Laurent,Quebec,Conservative,2021-09-20T00:00:00,1706735067961
1,,Chris,d'Entremont,West Nova,Nova Scotia,Conservative,2021-09-20T00:00:00,1706735067961
1,,Caroline,Desbiens,Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix,Quebec,Bloc Québécois,2021-09-20T00:00:00,1706735067961
1,,Luc,Desilets,Rivière-des-Mille-Îles,Quebec,Bloc Québécois,2021-09-20T00:00:00,1706735067961
1,,Blake,Desjarlais,Edmonton Griesbach,Alberta,NDP,2021-09-20T00:00:00,1706735067961
1,,Sukh,Dhaliwal,Surrey—Newton,British Columbia,Liberal,2021-09-20T00:00:00,1706735067961
1,,Anju,Dhillon,Dorval—Lachine—LaSalle,Quebec,Liberal,2021-09-20T00:00:00,1706735067961
