member_id,honorific,first_name,last_name,constituency,province_territory,party_affiliation,start_date,time_retrieved,source
110487,,Valerie,Bradford,Kitchener South—Hespeler,Ontario,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/valerie-bradford(110487)
88369,,Richard,Bragdon,Tobique—Mactaquac,New Brunswick,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/richard-bragdon(88369)
88674,,John,Brassard,Barrie—Innisfil,Ontario,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/john-brassard(88674)
104977,,Élisabeth,Brière,Sherbrooke,Quebec,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/elisabeth-briere(104977)
110354,,Larry,Brock,Brantford—Brant,Ontario,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/larry-brock(110354)
104786,,Alexis,Brunelle-Duceppe,Lac-Saint-Jean,Quebec,Bloc Québécois,2021-09-20T00:00:00,1706738730620,/members/en/alexis-brunelle-duceppe(104786)
35897,,Blaine,Calkins,Red Deer—Lacombe,Alberta,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/blaine-calkins(35897)
89327,,Richard,Cannings,South Okanagan—West Kootenay,British Columbia,NDP,2021-09-20T00:00:00,1706738730620,/members/en/richard-cannings(89327)
111007,,Frank,Caputo,Kamloops—Thompson—Cariboo,British Columbia,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/frank-caputo(111007)
115744,,Ben,Carr,Winnipeg South Centre,Manitoba,Liberal,2023-06-19T00:00:00,1706738730620,/members/en/ben-carr(115744)
25486,,Colin,Carrie,Oshawa,Ontario,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/colin-carrie(25486)
71270,,Sean,Casey,Charlottetown,Prince Edward Island,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/sean-casey(71270)
104678,,Louise,Chabot,Thérèse-De Blainville,Quebec,Bloc Québécois,2021-09-20T00:00:00,1706738730620,/members/en/louise-chabot(104678)
89000,Hon.,Bardish,Chagger,Waterloo,Ontario,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/bardish-chagger(89000)
110882,,George,Chahal,Calgary Skyview,Alberta,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/george-chahal(110882)
110649,,Adam,Chambers,Simcoe North,Ontario,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/adam-chambers(110649)
