honorific,first_name,last_name,constituency,province_territory,party_affiliation,start_date,time_retrieved
Hon.,François-Philippe,Champagne,Saint-Maurice—Champlain,Quebec,Liberal,2021-09-20T00:00:00,1706044273757
,Martin,Champoux,Drummond,Quebec,Bloc Québécois,2021-09-20T00:00:00,1706044273757
,Sophie,Chatel,Pontiac,Quebec,Liberal,2021-09-20T00:00:00,1706044273757
,Shaun,Chen,Scarborough North,Ontario,Liberal,2021-09-20T00:00:00,1706044273757
,Paul,Chiang,Markham—Unionville,Ontario,Liberal,2021-09-20T00:00:00,1706044273757
Hon.,Michael,Chong,Wellington—Halton Hills,Ontario,Conservative,2021-09-20T00:00:00,1706044273757
,Chad,Collins,Hamilton East—Stoney Creek,Ontario,Liberal,2021-09-20T00:00:00,1706044273757
,Laurel,Collins,Victoria,British Columbia,NDP,2021-09-20T00:00:00,1706044273757
,Michael,Cooper,St. Albert—Edmonton,Alberta,Conservative,2021-09-20T00:00:00,1706044273757
,Serge,Cormier,Acadie—Bathurst,New Brunswick,Liberal,2021-09-20T00:00:00,1706044273757
,Michael,Coteau,Don Valley East,Ontario,Liberal,2021-09-20T00:00:00,1706044273757
,Julie,Dabrusin,Toronto—Danforth,Ontario,Liberal,2021-09-20T00:00:00,1706044273757
,Marc,Dalton,Pitt Meadows—Maple Ridge,British Columbia,Conservative,2021-09-20T00:00:00,1706044273757
,Pam,Damoff,Oakville North—Burlington,Ontario,Liberal,2021-09-20T00:00:00,1706044273757
,Raquel,Dancho,Kildonan—St. Paul,Manitoba,Conservative,2021-09-20T00:00:00,1706044273757
,Scot,Davidson,York—Simcoe,Ontario,Conservative,2021-09-20T00:00:00,1706044273757
,Don,Davies,Vancouver Kingsway,British Columbia,NDP,2021-09-20T00:00:00,1706044273757
,Claude,DeBellefeuille,Salaberry—Suroît,Quebec,Bloc Québécois,2021-09-20T00:00:00,1706044273757
,Gérard,Deltell,Louis-Saint-Laurent,Quebec,Conservative,2021-09-20T00:00:00,1706044273757
,Chris,d'Entremont,West Nova,Nova Scotia,Conservative,2021-09-20T00:00:00,1706044273757
,Caroline,Desbiens,Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix,Quebec,Bloc Québécois,2021-09-20T00:00:00,1706044273757
,Luc,Desilets,Rivière-des-Mille-Îles,Quebec,Bloc Québécois,2021-09-20T00:00:00,1706044273757
,Blake,Desjarlais,Edmonton Griesbach,Alberta,NDP,2021-09-20T00:00:00,1706044273757
,Sukh,Dhaliwal,Surrey—Newton,British Columbia,Liberal,2021-09-20T00:00:00,1706044273757
,Anju,Dhillon,Dorval—Lachine—LaSalle,Quebec,Liberal,2021-09-20T00:00:00,1706044273757
,Lena Metlege,Diab,Halifax West,Nova Scotia,Liberal,2021-09-20T00:00:00,1706044273757
,Todd,Doherty,Cariboo—Prince George,British Columbia,Conservative,2021-09-20T00:00:00,1706044273757
,Han,Dong,Don Valley North,Ontario,Independent,2021-09-20T00:00:00,1706044273757
,Terry,Dowdall,Simcoe—Grey,Ontario,Conservative,2021-09-20T00:00:00,1706044273757
,Earl,Dreeshen,Red Deer—Mountain View,Alberta,Conservative,2021-09-20T00:00:00,1706044273757
,Francis,Drouin,Glengarry—Prescott—Russell,Ontario,Liberal,2021-09-20T00:00:00,1706044273757
,Emmanuel,Dubourg,Bourassa,Quebec,Liberal,2021-09-20T00:00:00,1706044273757
Hon.,Jean-Yves,Duclos,Québec,Quebec,Liberal,2021-09-20T00:00:00,1706044273757
,Terry,Duguid,Winnipeg South,Manitoba,Liberal,2021-09-20T00:00:00,1706044273757
,Eric,Duncan,Stormont—Dundas—South Glengarry,Ontario,Conservative,2021-09-20T00:00:00,1706044273757
Hon.,Kirsty,Duncan,Etobicoke North,Ontario,Liberal,2021-09-20T00:00:00,1706044273757
,Julie,Dzerowicz,Davenport,Ontario,Liberal,2021-09-20T00:00:00,1706044273757
,Ali,Ehsassi,Willowdale,Ontario,Liberal,2021-09-20T00:00:00,1706044273757
,Fayçal,El-Khoury,Laval—Les Îles,Quebec,Liberal,2021-09-20T00:00:00,1706044273757
,Stephen,Ellis,Cumberland—Colchester,Nova Scotia,Conservative,2021-09-20T00:00:00,1706044273757
,Dave,Epp,Chatham-Kent—Leamington,Ontario,Conservative,2021-09-20T00:00:00,1706044273757
,Nathaniel,Erskine-Smith,Beaches—East York,Ontario,Liberal,2021-09-20T00:00:00,1706044273757
,Rosemarie,Falk,Battlefords—Lloydminster,Saskatchewan,Conservative,2021-09-20T00:00:00,1706044273757
,Ted,Falk,Provencher,Manitoba,Conservative,2021-09-20T00:00:00,1706044273757
Hon.,Ed,Fast,Abbotsford,British Columbia,Conservative,2021-09-20T00:00:00,1706044273757
Hon.,Greg,Fergus,Hull—Aylmer,Quebec,Liberal,2021-09-20T00:00:00,1706044273757
,Michelle,Ferreri,Peterborough—Kawartha,Ontario,Conservative,2021-09-20T00:00:00,1706044273757
,Andy,Fillmore,Halifax,Nova Scotia,Liberal,2021-09-20T00:00:00,1706044273757
Hon.,Kerry-Lynne,Findlay,South Surrey—White Rock,British Columbia,Conservative,2021-09-20T00:00:00,1706044273757
,Darren,Fisher,Dartmouth—Cole Harbour,Nova Scotia,Liberal,2021-09-20T00:00:00,1706044273757
,Peter,Fonseca,Mississauga East—Cooksville,Ontario,Liberal,2021-09-20T00:00:00,1706044273757
Hon.,Mona,Fortier,Ottawa—Vanier,Ontario,Liberal,2021-09-20T00:00:00,1706044273757
