honorific,first_name,last_name,constituency,province_territory,party_affiliation,start_date,time_retrieved
,Ziad,Aboultaif,Edmonton Manning,Alberta,Conservative,2021-09-20T00:00:00,1705780019853
,Scott,Aitchison,Parry Sound—Muskoka,Ontario,Conservative,2021-09-20T00:00:00,1705780019853
,Dan,Albas,Central Okanagan—Similkameen—Nicola,British Columbia,Conservative,2021-09-20T00:00:00,1705780019853
,John,Aldag,Cloverdale—Langley City,British Columbia,Liberal,2021-09-20T00:00:00,1705780019853
Hon.,Omar,Alghabra,Mississauga Centre,Ontario,Liberal,2021-09-20T00:00:00,1705780019853
,Shafqat,Ali,Brampton Centre,Ontario,Liberal,2021-09-20T00:00:00,1705780019853
,Dean,Allison,Niagara West,Ontario,Conservative,2021-09-20T00:00:00,1705780019853
Hon.,Anita,Anand,Oakville,Ontario,Liberal,2021-09-20T00:00:00,1705780019853
Hon.,Gary,Anandasangaree,Scarborough—Rouge Park,Ontario,Liberal,2021-09-20T00:00:00,1705780019853
,Charlie,Angus,Timmins—James Bay,Ontario,NDP,2021-09-20T00:00:00,1705780019853
,Mel,Arnold,North Okanagan—Shuswap,British Columbia,Conservative,2021-09-20T00:00:00,1705780019853
,René,Arseneault,Madawaska—Restigouche,New Brunswick,Liberal,2021-09-20T00:00:00,1705780019853
,Chandra,Arya,Nepean,Ontario,Liberal,2021-09-20T00:00:00,1705780019853
,Niki,Ashton,Churchill—Keewatinook Aski,Manitoba,NDP,2021-09-20T00:00:00,1705780019853
,Jenica,Atwin,Fredericton,New Brunswick,Liberal,2021-09-20T00:00:00,1705780019853
,Taylor,Bachrach,Skeena—Bulkley Valley,British Columbia,NDP,2021-09-20T00:00:00,1705780019853
,Vance,Badawey,Niagara Centre,Ontario,Liberal,2021-09-20T00:00:00,1705780019853
,Parm,Bains,Steveston—Richmond East,British Columbia,Liberal,2021-09-20T00:00:00,1705780019853
,Yvan,Baker,Etobicoke Centre,Ontario,Liberal,2021-09-20T00:00:00,1705780019853
,Tony,Baldinelli,Niagara Falls,Ontario,Conservative,2021-09-20T00:00:00,1705780019853
,John,Barlow,Foothills,Alberta,Conservative,2021-09-20T00:00:00,1705780019853
,Michael,Barrett,Leeds—Grenville—Thousand Islands and Rideau Lakes,Ontario,Conservative,2021-09-20T00:00:00,1705780019853
,Lisa Marie,Barron,Nanaimo—Ladysmith,British Columbia,NDP,2021-09-20T00:00:00,1705780019853
,Xavier,Barsalou-Duval,Pierre-Boucher—Les Patriotes—Verchères,Quebec,Bloc Québécois,2021-09-20T00:00:00,1705780019853
,Jaime,Battiste,Sydney—Victoria,Nova Scotia,Liberal,2021-09-20T00:00:00,1705780019853
,Mario,Beaulieu,La Pointe-de-l'Île,Quebec,Bloc Québécois,2021-09-20T00:00:00,1705780019853
Hon.,Terry,Beech,Burnaby North—Seymour,British Columbia,Liberal,2021-09-20T00:00:00,1705780019853
,Rachel,Bendayan,Outremont,Quebec,Liberal,2021-09-20T00:00:00,1705780019853
,Stéphane,Bergeron,Montarville,Quebec,Bloc Québécois,2021-09-20T00:00:00,1705780019853
,Luc,Berthold,Mégantic—L'Érable,Quebec,Conservative,2021-09-20T00:00:00,1705780019853
,Sylvie,Bérubé,Abitibi—Baie-James—Nunavik—Eeyou,Quebec,Bloc Québécois,2021-09-20T00:00:00,1705780019853
,James,Bezan,Selkirk—Interlake—Eastman,Manitoba,Conservative,2021-09-20T00:00:00,1705780019853
Hon.,Marie-Claude,Bibeau,Compton—Stanstead,Quebec,Liberal,2021-09-20T00:00:00,1705780019853
,Chris,Bittle,St. Catharines,Ontario,Liberal,2021-09-20T00:00:00,1705780019853
,Daniel,Blaikie,Elmwood—Transcona,Manitoba,NDP,2021-09-20T00:00:00,1705780019853
Hon.,Bill,Blair,Scarborough Southwest,Ontario,Liberal,2021-09-20T00:00:00,1705780019853
,Yves-François,Blanchet,Beloeil—Chambly,Quebec,Bloc Québécois,2021-09-20T00:00:00,1705780019853
,Maxime,Blanchette-Joncas,Rimouski-Neigette—Témiscouata—Les Basques,Quebec,Bloc Québécois,2021-09-20T00:00:00,1705780019853
,Rachel,Blaney,North Island—Powell River,British Columbia,NDP,2021-09-20T00:00:00,1705780019853
,Kelly,Block,Carlton Trail—Eagle Creek,Saskatchewan,Conservative,2021-09-20T00:00:00,1705780019853
,Kody,Blois,Kings—Hants,Nova Scotia,Liberal,2021-09-20T00:00:00,1705780019853
Hon.,Randy,Boissonnault,Edmonton Centre,Alberta,Liberal,2021-09-20T00:00:00,1705780019853
,Alexandre,Boulerice,Rosemont—La Petite-Patrie,Quebec,NDP,2021-09-20T00:00:00,1705780019853
,Valerie,Bradford,Kitchener South—Hespeler,Ontario,Liberal,2021-09-20T00:00:00,1705780019853
,Richard,Bragdon,Tobique—Mactaquac,New Brunswick,Conservative,2021-09-20T00:00:00,1705780019853
,John,Brassard,Barrie—Innisfil,Ontario,Conservative,2021-09-20T00:00:00,1705780019853
,Élisabeth,Brière,Sherbrooke,Quebec,Liberal,2021-09-20T00:00:00,1705780019853
,Larry,Brock,Brantford—Brant,Ontario,Conservative,2021-09-20T00:00:00,1705780019853
,Alexis,Brunelle-Duceppe,Lac-Saint-Jean,Quebec,Bloc Québécois,2021-09-20T00:00:00,1705780019853
,Blaine,Calkins,Red Deer—Lacombe,Alberta,Conservative,2021-09-20T00:00:00,1705780019853
,Richard,Cannings,South Okanagan—West Kootenay,British Columbia,NDP,2021-09-20T00:00:00,1705780019853
,Frank,Caputo,Kamloops—Thompson—Cariboo,British Columbia,Conservative,2021-09-20T00:00:00,1705780019853
,Ben,Carr,Winnipeg South Centre,Manitoba,Liberal,2023-06-19T00:00:00,1705780019853
,Colin,Carrie,Oshawa,Ontario,Conservative,2021-09-20T00:00:00,1705780019853
,Sean,Casey,Charlottetown,Prince Edward Island,Liberal,2021-09-20T00:00:00,1705780019853
,Louise,Chabot,Thérèse-De Blainville,Quebec,Bloc Québécois,2021-09-20T00:00:00,1705780019853
Hon.,Bardish,Chagger,Waterloo,Ontario,Liberal,2021-09-20T00:00:00,1705780019853
,George,Chahal,Calgary Skyview,Alberta,Liberal,2021-09-20T00:00:00,1705780019853
,Adam,Chambers,Simcoe North,Ontario,Conservative,2021-09-20T00:00:00,1705780019853
Hon.,François-Philippe,Champagne,Saint-Maurice—Champlain,Quebec,Liberal,2021-09-20T00:00:00,1705780019853
,Martin,Champoux,Drummond,Quebec,Bloc Québécois,2021-09-20T00:00:00,1705780019853
,Sophie,Chatel,Pontiac,Quebec,Liberal,2021-09-20T00:00:00,1705780019853
,Shaun,Chen,Scarborough North,Ontario,Liberal,2021-09-20T00:00:00,1705780019853
,Paul,Chiang,Markham—Unionville,Ontario,Liberal,2021-09-20T00:00:00,1705780019853
Hon.,Michael,Chong,Wellington—Halton Hills,Ontario,Conservative,2021-09-20T00:00:00,1705780019853
,Chad,Collins,Hamilton East—Stoney Creek,Ontario,Liberal,2021-09-20T00:00:00,1705780019853
,Laurel,Collins,Victoria,British Columbia,NDP,2021-09-20T00:00:00,1705780019853
,Michael,Cooper,St. Albert—Edmonton,Alberta,Conservative,2021-09-20T00:00:00,1705780019853
,Serge,Cormier,Acadie—Bathurst,New Brunswick,Liberal,2021-09-20T00:00:00,1705780019853
,Michael,Coteau,Don Valley East,Ontario,Liberal,2021-09-20T00:00:00,1705780019853
,Julie,Dabrusin,Toronto—Danforth,Ontario,Liberal,2021-09-20T00:00:00,1705780019853
,Marc,Dalton,Pitt Meadows—Maple Ridge,British Columbia,Conservative,2021-09-20T00:00:00,1705780019853
,Pam,Damoff,Oakville North—Burlington,Ontario,Liberal,2021-09-20T00:00:00,1705780019853
,Raquel,Dancho,Kildonan—St. Paul,Manitoba,Conservative,2021-09-20T00:00:00,1705780019853
,Scot,Davidson,York—Simcoe,Ontario,Conservative,2021-09-20T00:00:00,1705780019853
,Don,Davies,Vancouver Kingsway,British Columbia,NDP,2021-09-20T00:00:00,1705780019853
,Claude,DeBellefeuille,Salaberry—Suroît,Quebec,Bloc Québécois,2021-09-20T00:00:00,1705780019853
,Gérard,Deltell,Louis-Saint-Laurent,Quebec,Conservative,2021-09-20T00:00:00,1705780019853
,Chris,d'Entremont,West Nova,Nova Scotia,Conservative,2021-09-20T00:00:00,1705780019853
