honorific,first_name,last_name,constituency,province_territory,party_affiliation,start_date,time_retrieved
,Earl,Dreeshen,Red Deer—Mountain View,Alberta,Conservative,2021-09-20T00:00:00,1705509803911
,Francis,Drouin,Glengarry—Prescott—Russell,Ontario,Liberal,2021-09-20T00:00:00,1705509803911
,Emmanuel,Dubourg,Bourassa,Quebec,Liberal,2021-09-20T00:00:00,1705509803911
Hon.,Jean-Yves,Duclos,Québec,Quebec,Liberal,2021-09-20T00:00:00,1705509803911
,Terry,Duguid,Winnipeg South,Manitoba,Liberal,2021-09-20T00:00:00,1705509803911
,Eric,Duncan,Stormont—Dundas—South Glengarry,Ontario,Conservative,2021-09-20T00:00:00,1705509803911
Hon.,Kirsty,Duncan,Etobicoke North,Ontario,Liberal,2021-09-20T00:00:00,1705509803911
,Julie,Dzerowicz,Davenport,Ontario,Liberal,2021-09-20T00:00:00,1705509803911
,Ali,Ehsassi,Willowdale,Ontario,Liberal,2021-09-20T00:00:00,1705509803911
,Fayçal,El-Khoury,Laval—Les Îles,Quebec,Liberal,2021-09-20T00:00:00,1705509803911
,Stephen,Ellis,Cumberland—Colchester,Nova Scotia,Conservative,2021-09-20T00:00:00,1705509803911
,Dave,Epp,Chatham-Kent—Leamington,Ontario,Conservative,2021-09-20T00:00:00,1705509803911
,Nathaniel,Erskine-Smith,Beaches—East York,Ontario,Liberal,2021-09-20T00:00:00,1705509803911
,Rosemarie,Falk,Battlefords—Lloydminster,Saskatchewan,Conservative,2021-09-20T00:00:00,1705509803911
,Ted,Falk,Provencher,Manitoba,Conservative,2021-09-20T00:00:00,1705509803911
Hon.,Ed,Fast,Abbotsford,British Columbia,Conservative,2021-09-20T00:00:00,1705509803911
Hon.,Greg,Fergus,Hull—Aylmer,Quebec,Liberal,2021-09-20T00:00:00,1705509803911
,Michelle,Ferreri,Peterborough—Kawartha,Ontario,Conservative,2021-09-20T00:00:00,1705509803911
,Andy,Fillmore,Halifax,Nova Scotia,Liberal,2021-09-20T00:00:00,1705509803911
Hon.,Kerry-Lynne,Findlay,South Surrey—White Rock,British Columbia,Conservative,2021-09-20T00:00:00,1705509803911
,Darren,Fisher,Dartmouth—Cole Harbour,Nova Scotia,Liberal,2021-09-20T00:00:00,1705509803911
,Peter,Fonseca,Mississauga East—Cooksville,Ontario,Liberal,2021-09-20T00:00:00,1705509803911
Hon.,Mona,Fortier,Ottawa—Vanier,Ontario,Liberal,2021-09-20T00:00:00,1705509803911
,Rhéal Éloi,Fortin,Rivière-du-Nord,Quebec,Bloc Québécois,2021-09-20T00:00:00,1705509803911
,Peter,Fragiskatos,London North Centre,Ontario,Liberal,2021-09-20T00:00:00,1705509803911
Hon.,Sean,Fraser,Central Nova,Nova Scotia,Liberal,2021-09-20T00:00:00,1705509803911
Hon.,Chrystia,Freeland,University—Rosedale,Ontario,Liberal,2021-09-20T00:00:00,1705509803911
Hon.,Hedy,Fry,Vancouver Centre,British Columbia,Liberal,2021-09-20T00:00:00,1705509803911
,Iqwinder,Gaheer,Mississauga—Malton,Ontario,Liberal,2021-09-20T00:00:00,1705509803911
,Anna,Gainey,Notre-Dame-de-Grâce—Westmount,Quebec,Liberal,2023-06-19T00:00:00,1705509803911
,Cheryl,Gallant,Renfrew—Nipissing—Pembroke,Ontario,Conservative,2021-09-20T00:00:00,1705509803911
,Jean-Denis,Garon,Mirabel,Quebec,Bloc Québécois,2021-09-20T00:00:00,1705509803911
,Randall,Garrison,Esquimalt—Saanich—Sooke,British Columbia,NDP,2021-09-20T00:00:00,1705509803911
,Marie-Hélène,Gaudreau,Laurentides—Labelle,Quebec,Bloc Québécois,2021-09-20T00:00:00,1705509803911
,Leah,Gazan,Winnipeg Centre,Manitoba,NDP,2021-09-20T00:00:00,1705509803911
,Bernard,Généreux,Montmagny—L'Islet—Kamouraska—Rivière-du-Loup,Quebec,Conservative,2021-09-20T00:00:00,1705509803911
,Garnett,Genuis,Sherwood Park—Fort Saskatchewan,Alberta,Conservative,2021-09-20T00:00:00,1705509803911
,Mark,Gerretsen,Kingston and the Islands,Ontario,Liberal,2021-09-20T00:00:00,1705509803911
,Marilène,Gill,Manicouagan,Quebec,Bloc Québécois,2021-09-20T00:00:00,1705509803911
,Marilyn,Gladu,Sarnia—Lambton,Ontario,Conservative,2021-09-20T00:00:00,1705509803911
,Joël,Godin,Portneuf—Jacques-Cartier,Quebec,Conservative,2021-09-20T00:00:00,1705509803911
,Laila,Goodridge,Fort McMurray—Cold Lake,Alberta,Conservative,2021-09-20T00:00:00,1705509803911
Hon.,Karina,Gould,Burlington,Ontario,Liberal,2021-09-20T00:00:00,1705509803911
,Jacques,Gourde,Lévis—Lotbinière,Quebec,Conservative,2021-09-20T00:00:00,1705509803911
,Tracy,Gray,Kelowna—Lake Country,British Columbia,Conservative,2021-09-20T00:00:00,1705509803911
,Matthew,Green,Hamilton Centre,Ontario,NDP,2021-09-20T00:00:00,1705509803911
Hon.,Steven,Guilbeault,Laurier—Sainte-Marie,Quebec,Liberal,2021-09-20T00:00:00,1705509803911
Hon.,Patty,Hajdu,Thunder Bay—Superior North,Ontario,Liberal,2021-09-20T00:00:00,1705509803911
,Jasraj Singh,Hallan,Calgary Forest Lawn,Alberta,Conservative,2021-09-20T00:00:00,1705509803911
,Brendan,Hanley,Yukon,Yukon,Liberal,2021-09-20T00:00:00,1705509803911
,Ken,Hardie,Fleetwood—Port Kells,British Columbia,Liberal,2021-09-20T00:00:00,1705509803911
,Lisa,Hepfner,Hamilton Mountain,Ontario,Liberal,2021-09-20T00:00:00,1705509803911
,Randy,Hoback,Prince Albert,Saskatchewan,Conservative,2021-09-20T00:00:00,1705509803911
